id,property_type,prop_type_simp,number_of_reviews,review_scores_rating,cleaning_fee,price,price_3_nights
39270869,Apartment,Apartment,9,100,10,29,97
39275882,Resort,Other,2,100,99,149,546
39276592,Townhouse,Townhouse,2,100,150,189,717
39293361,House,House,3,100,224,149,671
39294840,House,House,3,100,224,179,761
39296783,House,House,2,100,150,500,1650
39299839,Apartment,Apartment,1,100,85,500,1585
39300028,Apartment,Apartment,3,100,85,500,1585
39301741,Apartment,Apartment,2,100,60,200,660
39305514,Apartment,Apartment,6,100,80,400,1280
39315532,House,House,3,100,225,300,1125
39317147,House,House,3,100,65,48,209
39354350,Townhouse,Townhouse,2,100,175,128,559
39361650,House,House,1,100,299,350,1349
39362382,Townhouse,Townhouse,2,100,225,151,678
39386435,Condominium,Condominium,3,100,50,79,287
39387231,Apartment,Apartment,2,100,10,75,235
39389562,Loft,Other,2,100,50,350,1100
39389802,House,House,1,100,150,147,591
39390021,House,House,1,100,100,125,475
39390026,Apartment,Apartment,8,100,100,190,670
39398703,House,House,2,80,50,73,269
39416780,Condominium,Condominium,7,100,75,100,375
39419881,Apartment,Apartment,1,100,110,145,545
